art_id	url	name	where	m_gender	a_gender	m_count	a_count	m_quotes	a_quotes
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Maxwell Ogden	both	male	male	4	4	40	0	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Laurie Allen	both	female	female	1	1	40	44	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James R. Jacobs	both	male	male	1	1	31	0	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Patrice McDermott	both	female	female	2	2	18	20	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Barbara Thiers	both	female	female	1	1	23	26	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Anne Jefferson	both	female	female	1	1	22	24	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Andrew Bergman	both	male	male	2	2	34	40	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James A. Jacobs	both	male	male	1	1	31	0	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Sam Hodgson	auto_only							
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Obama	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Sarah Burton	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Cara Delevingne	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Alexander McQueen	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nicki Minaj	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Karl Lagerfeld	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nadège Vanhee-Cybulski	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Rihanna	both	female	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kendall Jenner	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Gigi Hadid	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim Kardashian	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Riccardo Tisci	both	male	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Haider Ackermann	both	male	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nick Jonas	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Joe Jonas	manual_only	male						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nadge Vanhee-Cybulski	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Giambattista Valli	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Fenty	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Joe	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kendall Jenner/Gigi Hadid	auto_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	James W. Cook	both	male	male	1	1	31	35	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	John Williams	manual_only	male						
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Richard Woodley	both	male	male	1	1	21	23	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arsene Wenger	manual_only	male						
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Dudley Wood	both	male	male	1	1	32	0	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Josh Rice	both	male	male	7	1	0	9	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	unnamed source	manual_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Helen Weston	both	female	female	1	1	27	33	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Ella Eyre	both	female	female	1	1	0	0	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Josephine Wright	both	female	female	1	2	28	30	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arthur Jones	both	male	male	2	2	82	87	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Chris Oti	both	male	male	1	2	0	0	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	John M. Williams	auto_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arsne Wenger	auto_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Oren Falkowitz	both	male	male	3	3	66	45	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	"Microsoft, Google and Apple"	manual_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Edward J. Snowden	both	male	male	3	3	0	0	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Denelle Nixon	manual_only	female						
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Barack Obama	both	male	None	0	1	0	0	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Wikileaks	manual_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	David Gutelius	both	male	male	1	1	46	0	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Matthew D. Green	both	male	male	1	1	25	28	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Timothy D. Cook	both	male	male	1	1	20	0	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Julian Assange	auto_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Denelle Dixon	auto_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	WikiLeaks	auto_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Obama	auto_only							
a010	https://www.nytimes.com/2017/01/27/technology/millennial-social-media-usage.html	Sean Casey	both	male	male	1	3	43	51	
a010	https://www.nytimes.com/2017/01/27/technology/millennial-social-media-usage.html	Instagram	auto_only							
a011	https://techcrunch.com/2017/03/14/bill-maris-next-gig-after-gv-is-a-100-million-health-and-biotech-fund/	Bill Maris	manual_only	male						
a011	https://techcrunch.com/2017/03/14/bill-maris-next-gig-after-gv-is-a-100-million-health-and-biotech-fund/	Maris	auto_only							
a012	https://techcrunch.com/2017/03/14/sift-raises-1-5-million-to-unlock-your-credit-cards/	Abhinav Dubey	both	male	None	2	2	139	149	
a012	https://techcrunch.com/2017/03/14/sift-raises-1-5-million-to-unlock-your-credit-cards/	Sophia Collier	auto_only							
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Parker Conrad	both	male	male	11	11	301	333	
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Rippling	auto_only							
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Zenefits	auto_only							
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Mark McGuire	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Mira Lane	both	female	female	3	3	99	92	
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	J. Walter Thompson	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Zendesk	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Hootsuite	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Deloitte	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	J.B. Hunt	auto_only							
a015	https://techcrunch.com/2017/03/14/goodlord/	Richard White	both	male	male	1	1	56	43	
a015	https://techcrunch.com/2017/03/14/goodlord/	Mayer Malka	manual_only	male						
a015	https://techcrunch.com/2017/03/14/goodlord/	LocalGlobe	auto_only							
a015	https://techcrunch.com/2017/03/14/goodlord/	Meyer Malka	auto_only							
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Jean-Claude Biver	both	male	None	1	1	88	0	
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Siri	auto_only							
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Oakley	auto_only							
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Colin Angle	both	male	male	3	1	261	193	
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Roomba	auto_only							
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Alexa	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Tobey Maguire	both	male	None	1	1	0	0	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Shakib Zabihian	both	male	male	13	15	137	145	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Randy Horowitz	both	male	male	1	1	0	0	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Sophia Parsa	both	female	female	13	13	181	135	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Chuck Pacheco	both	male	male	1	1	0	0	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Paras	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Betsy DeVos	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Donald Trump	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Getty	auto_only							
a019	https://techcrunch.com/2017/03/14/producepay-raises-77-million-in-debt-and-equity-to-revolutionize-farm-financing/	Pablo Borquez Schwarzbeck	both	male	male	10	7	88	41	
a019	https://techcrunch.com/2017/03/14/producepay-raises-77-million-in-debt-and-equity-to-revolutionize-farm-financing/	Ali Hamed	both	male	male	2	3	84	97	
a020	https://techcrunch.com/2017/03/06/how-hazel-technologies-keeps-fresh-fruit-and-vegetables-from-spoiling/	Aidan Mouat	both	male	None	2	2	41	0	
a020	https://techcrunch.com/2017/03/06/how-hazel-technologies-keeps-fresh-fruit-and-vegetables-from-spoiling/	Niko Hrdy	both	male	male	2	2	39	45	
